id,task,category,difficulty,duration_estimate,framework_id,framework_name,reasoning,instructions,tags
1,Write a 2-page project summary,work,medium,45,4,Time Blocking,"Time Blocking helps allocate a clear writing window.","Block 45 minutes, outline key points, write summary, revise.","work;writing;planning"
190,Practice glute side raises,fitness,easy,15,46,Daily Rituals,"Daily activation improves lower-body strength.","Perform side raises slowly, hold at top.","fitness;strength"
191,Organize digital notes,home,medium,35,3,GTD,"GTD helps categorize digital clutter.","Sort notes, create folders, delete old items.","home;digital"
192,Write improvement plan for project,work,medium,30,7,SMART Goals,"SMART structure improves clarity in improvement plans.","List issues, propose solutions, set deadlines.","work;analysis"
193,Practice watercolor shadows,creative,medium,30,42,Micro-Goals,"Small drills improve shadow technique.","Paint shadows lightly, blend edges, refine.","creative;art"
194,Clean stovetop surface,home,easy,15,10,2-Minute Rule,"Quick cleaning tasks should be done immediately.","Wipe surface, clean stains, dry thoroughly.","home;cleaning"
195,Review math flashcards,study,medium,25,8,Spaced Repetition,"Flashcards reviewed at intervals improve retention.","Review deck, mark difficult cards, repeat.","study;memory"
196,Prepare vegetable curry,home,medium,35,37,Time Anchoring,"Anchoring cooking to evening improves consistency.","Chop vegetables, cook curry base, simmer.","home;cooking"
197,Practice yoga flexibility flow,fitness,medium,25,46,Daily Rituals,"Daily yoga improves flexibility.","Perform flow slowly, hold stretches.","fitness;yoga"
198,Write weekly reflection notes,personal,easy,15,20,Weekly Review,"Weekly reflection improves emotional clarity.","Write wins, challenges, improvements.","personal;reflection"
199,Organize craft drawer,creative,easy,20,38,Task Decomposition,"Breaking drawer tasks into sections reduces overwhelm.","Sort supplies, label containers, arrange neatly.","creative;organization"
200,Practice Russian twists,fitness,medium,20,17,Energy-Based Scheduling,"Core training requires moderate energy.","Perform twists slowly, keep core tight.","fitness;core"
201,Review physics flashcards,study,medium,25,8,Spaced Repetition,"Flashcards reviewed at intervals improve retention.","Review deck, mark difficult cards, repeat.","study;science"
202,Clean kitchen cabinet doors,home,easy,15,10,2-Minute Rule,"Quick cleaning tasks should be done immediately.","Wipe doors, clean handles, dry surfaces.","home;cleaning"
203,Practice dumbbell bicep curls,fitness,medium,20,17,Energy-Based Scheduling,"Strength training requires moderate energy.","Warm up, perform curls slowly, increase weight.","fitness;strength"
204,Write UI component ideas,work,medium,30,29,Mind Mapping,"Mind Mapping helps visualize UI component relationships.","Sketch components, branch variations, add notes.","work;design"
205,Organize laundry supplies,home,easy,20,38,Task Decomposition,"Breaking supplies into categories reduces overwhelm.","Sort detergents, label containers, store neatly.","home;organization"
206,Prepare fruit smoothie,home,easy,10,34,Habit Stacking,"Stacking smoothie prep onto morning routine increases consistency.","Blend fruit, yogurt, seeds, refrigerate.","home;cooking"
207,Review team project notes,work,medium,30,20,Weekly Review,"Weekly review clarifies project direction.","List tasks, update priorities, assign owners.","work;planning"
208,Practice calf stretches,fitness,easy,15,46,Daily Rituals,"Daily stretching improves flexibility.","Perform calf stretch, hold 30s, repeat.","fitness;stretching"
209,Write creative monologue,creative,medium,35,42,Micro-Goals,"Small writing goals improve creative output.","Write monologue, refine tone, adjust pacing.","creative;writing"
210,Clean living room shelves,home,easy,20,23,Task Batching,"Batching cleaning tasks increases efficiency.","Dust shelves, wipe surfaces, organize items.","home;cleaning"
211,Review investment goals,finance,medium,30,22,Time Audit,"Auditing time aligns with reviewing financial habits.","Check progress, adjust targets, update plan.","finance;planning"
212,Practice typing rhythm drills,personal,medium,20,25,Focus Blocks,"Focused practice improves typing rhythm.","Use typing test, repeat drills, track progress.","personal;skills"
213,Prepare grilled vegetable plate,home,medium,30,4,Time Blocking,"Cooking fits well into structured time blocks.","Chop vegetables, grill lightly, season.","home;cooking"
214,Write daily reflection notes,personal,easy,10,58,Task Journaling,"Journaling reflections improves clarity.","Write 3 insights, 1 challenge, 1 gratitude.","personal;reflection"
215,Practice glute step-ups,fitness,medium,20,46,Daily Rituals,"Daily activation improves lower-body strength.","Perform step-ups slowly, alternate legs.","fitness;strength"
216,Organize digital bookmarks,home,medium,35,3,GTD,"GTD helps categorize digital clutter.","Sort bookmarks, create folders, delete old links.","home;digital"
217,Write project summary draft,work,medium,30,7,SMART Goals,"SMART structure improves clarity in summaries.","Write intro, list achievements, propose next steps.","work;writing"
218,Practice watercolor highlights,creative,medium,30,42,Micro-Goals,"Small drills improve highlighting technique.","Add highlights, refine edges, blend softly.","creative;art"
219,Clean bathroom sink area,home,easy,15,10,2-Minute Rule,"Quick cleaning tasks should be done immediately.","Scrub sink, wipe counter, dry surfaces.","home;cleaning"
220,Review history flashcards,study,medium,25,8,Spaced Repetition,"Flashcards reviewed at intervals improve retention.","Review deck, mark difficult cards, repeat.","study;memory"
221,Prepare vegetable omelette,home,medium,20,37,Time Anchoring,"Anchoring cooking to morning improves consistency.","Beat eggs, cook vegetables, fold omelette.","home;cooking"
222,Practice yoga hip openers,fitness,medium,25,46,Daily Rituals,"Daily yoga improves flexibility.","Perform hip-opening poses slowly.","fitness;yoga"
223,Write weekly reflection summary,personal,easy,15,20,Weekly Review,"Weekly reflection improves emotional clarity.","Write wins, challenges, improvements.","personal;reflection"
224,Organize art tool drawer,creative,medium,30,38,Task Decomposition,"Breaking drawer tasks into sections reduces overwhelm.","Sort tools, label containers, arrange neatly.","creative;organization"
225,Practice leg raises,fitness,medium,20,17,Energy-Based Scheduling,"Core training requires moderate energy.","Perform leg raises slowly, keep core tight.","fitness;core"
226,Review chemistry flashcards,study,medium,25,8,Spaced Repetition,"Flashcards reviewed at intervals improve retention.","Review deck, rewrite formulas, repeat difficult cards.","study;science"
227,Clean kitchen sink faucet,home,easy,10,10,2-Minute Rule,"Quick cleaning tasks should be done immediately.","Wipe faucet, clean base, dry thoroughly.","home;cleaning"
228,Practice dumbbell chest press,fitness,medium,20,17,Energy-Based Scheduling,"Chest training requires moderate energy.","Warm up, perform sets, increase weight gradually.","fitness;strength"
229,Write UX wireframe ideas,work,medium,30,29,Mind Mapping,"Mind Mapping helps visualize wireframe structure.","Sketch layout, branch components, add notes.","work;design"
230,Organize pantry spices,home,easy,20,38,Task Decomposition,"Breaking spice organization into sections reduces overwhelm.","Sort spices, label jars, arrange neatly.","home;organization"
231,Prepare fruit parfait,home,easy,10,34,Habit Stacking,"Stacking parfait prep onto morning routine increases consistency.","Layer yogurt, fruit, granola, refrigerate.","home;cooking"
232,Review team sprint summary,work,medium,30,20,Weekly Review,"Weekly review clarifies sprint outcomes.","List wins, challenges, next steps.","work;planning"
233,Practice shoulder stretches,fitness,easy,15,46,Daily Rituals,"Daily stretching improves flexibility.","Perform shoulder circles, band stretches.","fitness;stretching"
234,Write creative character dialogue,creative,medium,35,42,Micro-Goals,"Small writing goals improve creative output.","Write dialogue, refine tone, adjust pacing.","creative;writing"
235,Clean living room windows,home,medium,30,23,Task Batching,"Batching cleaning tasks increases efficiency.","Spray cleaner, wipe glass, dry edges.","home;cleaning"
236,Review financial goals,finance,medium,30,22,Time Audit,"Auditing time aligns with reviewing financial habits.","Check progress, adjust targets, update plan.","finance;planning"
237,Practice typing flow drills,personal,medium,20,25,Focus Blocks,"Focused practice improves typing flow.","Use typing test, repeat drills, track progress.","personal;skills"
238,Prepare vegetable stir-fry bowl,home,medium,25,4,Time Blocking,"Cooking fits well into structured time blocks.","Chop vegetables, stir-fry, season lightly.","home;cooking"
239,Write daily gratitude paragraph,personal,easy,10,58,Task Journaling,"Journaling gratitude improves emotional clarity.","Write paragraph about gratitude and reflection.","personal;reflection"
240,Practice glute bridge pulses,fitness,easy,15,46,Daily Rituals,"Daily activation improves lower-body strength.","Perform pulses slowly, hold at top.","fitness;strength"
241,Organize digital folders,home,medium,35,3,GTD,"GTD helps categorize digital clutter.","Sort folders, rename items, delete old files.","home;digital"
242,Write project improvement summary,work,medium,30,7,SMART Goals,"SMART structure improves clarity in improvement summaries.","List issues, propose solutions, set deadlines.","work;analysis"
243,Practice watercolor edge blending,creative,medium,30,42,Micro-Goals,"Small drills improve blending technique.","Blend edges softly, refine transitions.","creative;art"
244,Clean stovetop grates,home,medium,25,23,Task Batching,"Batching cleaning tasks increases efficiency.","Remove grates, scrub, rinse, dry.","home;cleaning"
245,Review exam formulas,study,medium,25,8,Spaced Repetition,"Formulas reviewed at intervals improve retention.","Rewrite formulas, solve sample problems.","study;memory"
246,Prepare baked vegetable tray,home,medium,35,37,Time Anchoring,"Anchoring cooking to evening improves consistency.","Chop vegetables, season, bake until tender.","home;cooking"
247,Practice yoga flexibility routine,fitness,medium,25,46,Daily Rituals,"Daily yoga improves flexibility.","Perform flow slowly, hold stretches.","fitness;yoga"
248,Write weekly reflection journal,personal,easy,15,20,Weekly Review,"Weekly reflection improves emotional clarity.","Write wins, challenges, improvements.","personal;reflection"
249,Organize craft materials,creative,medium,30,38,Task Decomposition,"Breaking materials into categories reduces overwhelm.","Sort supplies, label containers, arrange neatly.","creative;organization"
250,Practice seated leg lifts,fitness,medium,20,17,Energy-Based Scheduling,"Core training requires moderate energy.","Perform lifts slowly, keep core tight.","fitness;core"
