task,category,difficulty,duration_estimate,framework_name,reasoning,instructions,tags
Write a 2-page project summary,work,medium,45,Time Blocking,Time Blocking helps allocate a clear writing window.,"Block 45 minutes, outline key points, write summary, revise.",work;writing;planning
Organize laundry supplies,home,easy,20,Task Decomposition,Breaking supplies into categories reduces overwhelm.,"Sort detergents, label containers, store neatly.",home;organization
Prepare fruit smoothie,home,easy,10,Habit Stacking,Stacking smoothie prep onto morning routine increases consistency.,"Blend fruit, yogurt, seeds, refrigerate.",home;cooking
Review team project notes,work,medium,30,Weekly Review,Weekly review clarifies project direction.,"List tasks, update priorities, assign owners.",work;planning
Practice calf stretches,fitness,easy,15,Daily Rituals,Daily stretching improves flexibility.,"Perform calf stretch, hold 30s, repeat.",fitness;stretching
Write creative monologue,creative,medium,35,Micro-Goals,Small writing goals improve creative output.,"Write monologue, refine tone, adjust pacing.",creative;writing
Clean living room shelves,home,easy,20,Task Batching,Batching cleaning tasks increases efficiency.,"Dust shelves, wipe surfaces, organize items.",home;cleaning
Review investment goals,finance,medium,30,Time Audit,Auditing time aligns with reviewing financial habits.,"Check progress, adjust targets, update plan.",finance;planning
Practice typing rhythm drills,personal,medium,20,Focus Blocks,Focused practice improves typing rhythm.,"Use typing test, repeat drills, track progress.",personal;skills
Prepare grilled vegetable plate,home,medium,30,Time Blocking,Cooking fits well into structured time blocks.,"Chop vegetables, grill lightly, season.",home;cooking
Write daily reflection notes,personal,easy,10,Task Journaling,Journaling reflections improves clarity.,"Write 3 insights, 1 challenge, 1 gratitude.",personal;reflection
Practice glute step-ups,fitness,medium,20,Daily Rituals,Daily activation improves lower-body strength.,"Perform step-ups slowly, alternate legs.",fitness;strength
Organize digital bookmarks,home,medium,35,GTD,GTD helps categorize digital clutter.,"Sort bookmarks, create folders, delete old links.",home;digital
Write project summary draft,work,medium,30,SMART Goals,SMART structure improves clarity in summaries.,"Write intro, list achievements, propose next steps.",work;writing
Practice watercolor highlights,creative,medium,30,Micro-Goals,Small drills improve highlighting technique.,"Add highlights, refine edges, blend softly.",creative;art
Clean bathroom sink area,home,easy,15,2-Minute Rule,Quick cleaning tasks should be done immediately.,"Scrub sink, wipe counter, dry surfaces.",home;cleaning
Review history flashcards,study,medium,25,Spaced Repetition,Flashcards reviewed at intervals improve retention.,"Review deck, mark difficult cards, repeat.",study;memory
Prepare vegetable omelette,home,medium,20,Time Anchoring,Anchoring cooking to morning improves consistency.,"Beat eggs, cook vegetables, fold omelette.",home;cooking
Practice yoga hip openers,fitness,medium,25,Daily Rituals,Daily yoga improves flexibility.,Perform hip-opening poses slowly.,fitness;yoga
Write weekly reflection summary,personal,easy,15,Weekly Review,Weekly reflection improves emotional clarity.,"Write wins, challenges, improvements.",personal;reflection
Organize art tool drawer,creative,medium,30,Task Decomposition,Breaking drawer tasks into sections reduces overwhelm.,"Sort tools, label containers, arrange neatly.",creative;organization
Practice leg raises,fitness,medium,20,Energy-Based Scheduling,Core training requires moderate energy.,"Perform leg raises slowly, keep core tight.",fitness;core
Review chemistry flashcards,study,medium,25,Spaced Repetition,Flashcards reviewed at intervals improve retention.,"Review deck, rewrite formulas, repeat difficult cards.",study;science
Clean kitchen sink faucet,home,easy,10,2-Minute Rule,Quick cleaning tasks should be done immediately.,"Wipe faucet, clean base, dry thoroughly.",home;cleaning
Practice dumbbell chest press,fitness,medium,20,Energy-Based Scheduling,Chest training requires moderate energy.,"Warm up, perform sets, increase weight gradually.",fitness;strength
Write UX wireframe ideas,work,medium,30,Mind Mapping,Mind Mapping helps visualize wireframe structure.,"Sketch layout, branch components, add notes.",work;design
Organize pantry spices,home,easy,20,Task Decomposition,Breaking spice organization into sections reduces overwhelm.,"Sort spices, label jars, arrange neatly.",home;organization
Prepare fruit parfait,home,easy,10,Habit Stacking,Stacking parfait prep onto morning routine increases consistency.,"Layer yogurt, fruit, granola, refrigerate.",home;cooking
Review team sprint summary,work,medium,30,Weekly Review,Weekly review clarifies sprint outcomes.,"List wins, challenges, next steps.",work;planning
Practice shoulder stretches,fitness,easy,15,Daily Rituals,Daily stretching improves flexibility.,"Perform shoulder circles, band stretches.",fitness;stretching
Write creative character dialogue,creative,medium,35,Micro-Goals,Small writing goals improve creative output.,"Write dialogue, refine tone, adjust pacing.",creative;writing
Clean living room windows,home,medium,30,Task Batching,Batching cleaning tasks increases efficiency.,"Spray cleaner, wipe glass, dry edges.",home;cleaning
Review financial goals,finance,medium,30,Time Audit,Auditing time aligns with reviewing financial habits.,"Check progress, adjust targets, update plan.",finance;planning
Practice typing flow drills,personal,medium,20,Focus Blocks,Focused practice improves typing flow.,"Use typing test, repeat drills, track progress.",personal;skills
Prepare vegetable stir-fry bowl,home,medium,25,Time Blocking,Cooking fits well into structured time blocks.,"Chop vegetables, stir-fry, season lightly.",home;cooking
Write daily gratitude paragraph,personal,easy,10,Task Journaling,Journaling gratitude improves emotional clarity.,Write paragraph about gratitude and reflection.,personal;reflection
Practice glute bridge pulses,fitness,easy,15,Daily Rituals,Daily activation improves lower-body strength.,"Perform pulses slowly, hold at top.",fitness;strength
Organize digital folders,home,medium,35,GTD,GTD helps categorize digital clutter.,"Sort folders, rename items, delete old files.",home;digital
Write project improvement summary,work,medium,30,SMART Goals,SMART structure improves clarity in improvement summaries.,"List issues, propose solutions, set deadlines.",work;analysis
Practice watercolor edge blending,creative,medium,30,Micro-Goals,Small drills improve blending technique.,"Blend edges softly, refine transitions.",creative;art
Clean stovetop grates,home,medium,25,Task Batching,Batching cleaning tasks increases efficiency.,"Remove grates, scrub, rinse, dry.",home;cleaning
Review exam formulas,study,medium,25,Spaced Repetition,Formulas reviewed at intervals improve retention.,"Rewrite formulas, solve sample problems.",study;memory
Prepare baked vegetable tray,home,medium,35,Time Anchoring,Anchoring cooking to evening improves consistency.,"Chop vegetables, season, bake until tender.",home;cooking
Practice yoga flexibility routine,fitness,medium,25,Daily Rituals,Daily yoga improves flexibility.,"Perform flow slowly, hold stretches.",fitness;yoga
Write weekly reflection journal,personal,easy,15,Weekly Review,Weekly reflection improves emotional clarity.,"Write wins, challenges, improvements.",personal;reflection
Organize craft materials,creative,medium,30,Task Decomposition,Breaking materials into categories reduces overwhelm.,"Sort supplies, label containers, arrange neatly.",creative;organization
Practice seated leg lifts,fitness,medium,20,Energy-Based Scheduling,Core training requires moderate energy.,"Perform lifts slowly, keep core tight.",fitness;core
